Wall time,Step,Value
1649328335.072773,0,6.175373554229736
1649328391.17643,1,5.460560321807861
1649328448.443433,2,4.962831974029541
1649328503.433711,3,3.959022283554077
1649328559.819196,4,3.657727003097534
1649328615.920701,5,3.3329641819000244
1649328671.806024,6,2.728012800216675
1649328728.236866,7,2.5298454761505127
1649328785.048321,8,2.3283824920654297
1649328841.596428,9,1.9252160787582397
1649328897.916734,10,1.723307728767395
1649328954.315284,11,1.6170785427093506
1649329010.030988,12,1.5463169813156128
1649329065.360806,13,1.3541642427444458
1649329121.746593,14,1.2651522159576416
1649329177.695995,15,1.2371004819869995
1649329232.620437,16,1.1033345460891724
1649329288.103692,17,1.0550264120101929
1649329343.759305,18,0.998030424118042
1649329398.687935,19,0.960968554019928
1649329454.970672,20,0.8837722539901733
1649329511.296587,21,0.8229888677597046
1649329567.36452,22,0.8095174431800842
1649329622.884992,23,0.8122097849845886
1649329679.310367,24,0.7496063113212585
1649329736.303782,25,0.7352480292320251
1649329791.98727,26,0.6784597039222717
1649329847.603015,27,0.6229861378669739
1649329903.344843,28,0.6332277655601501
1649329959.309761,29,0.6293755173683167
1649330015.045912,30,0.5921922326087952
1649330071.902553,31,0.5300245881080627
1649330127.977252,32,0.5561270117759705
1649330184.86001,33,0.5433571338653564
1649330241.044565,34,0.4891962707042694
1649330296.760979,35,0.5291358828544617
1649330352.28878,36,0.5134949684143066
1649330408.008688,37,0.49149221181869507
1649330463.504241,38,0.5063837766647339
1649330520.138877,39,0.48030364513397217
1649330576.388118,40,0.45716187357902527
1649330632.186819,41,0.43192175030708313
1649330688.141086,42,0.4415912926197052
1649330743.994572,43,0.4313325583934784
1649330799.56695,44,0.4125114381313324
1649330855.010905,45,0.4326304495334625
1649330910.298693,46,0.4433664083480835
1649330966.711353,47,0.4053623676300049
1649331022.400363,48,0.4342346787452698
1649331078.192162,49,0.4114973843097687
1649331133.7523,50,0.4045197367668152
1649331191.088947,51,0.38099661469459534
1649331246.526533,52,0.3929845094680786
1649331301.498631,53,0.39993271231651306
1649331357.893544,54,0.38627156615257263
1649331414.386284,55,0.3859904408454895
1649331469.813349,56,0.3775285482406616
1649331526.52987,57,0.35245445370674133
1649331582.354667,58,0.36773908138275146
1649331638.500984,59,0.37532347440719604
1649331695.005533,60,0.3560987114906311
1649331750.409416,61,0.3545615077018738
1649331806.038703,62,0.3485572338104248
1649331862.909095,63,0.35821297764778137
1649331918.725344,64,0.31862425804138184
1649331974.121882,65,0.3556022644042969
1649332030.199806,66,0.3646542429924011
1649332086.502535,67,0.3333793580532074
1649332142.181798,68,0.33451521396636963
1649332197.743309,69,0.3425025939941406
1649332253.236728,70,0.3455258309841156
1649332309.031426,71,0.31867411732673645
1649332365.915476,72,0.3401721119880676
1649332422.518888,73,0.31644967198371887
1649332478.17657,74,0.3284498453140259
1649332533.893585,75,0.3403242230415344
1649332589.346655,76,0.3243879973888397
1649332646.675703,77,0.3348045349121094
1649332702.300179,78,0.32338932156562805
1649332758.228311,79,0.32146742939949036
1649332812.598678,80,0.30684447288513184
1649332868.062558,81,0.30106186866760254
1649332923.53146,82,0.3077101707458496
1649332979.225887,83,0.31274715065956116
1649333034.958042,84,0.30342888832092285
1649333089.64851,85,0.3158053159713745
1649333145.921443,86,0.29733601212501526
1649333202.698822,87,0.29142212867736816
1649333258.02049,88,0.29346850514411926
1649333313.883902,89,0.28995051980018616
1649333369.635605,90,0.29193055629730225
1649333425.233924,91,0.2786383628845215
1649333481.328057,92,0.2857764661312103
1649333537.700051,93,0.287588506937027
1649333593.71445,94,0.2814749777317047
1649333649.489368,95,0.2807573080062866
1649333705.876906,96,0.2859233617782593
1649333761.31119,97,0.26783493161201477
1649333818.733095,98,0.2929002344608307
1649333875.326464,99,0.27703535556793213
1649333931.1307,100,0.26131680607795715
1649333987.219639,101,0.2596316635608673
1649334043.507531,102,0.27531635761260986
1649334099.109097,103,0.28140050172805786
1649334154.063057,104,0.25656363368034363
1649334210.247505,105,0.2811996340751648
1649334265.476014,106,0.27228111028671265
1649334322.015578,107,0.26000040769577026
1649334378.020895,108,0.27553415298461914
1649334434.085258,109,0.2800010144710541
1649334489.508506,110,0.2657347023487091
1649334545.598782,111,0.259737491607666
1649334601.549742,112,0.2615997791290283
1649334658.252476,113,0.2571042776107788
1649334713.775573,114,0.2599823474884033
1649334769.261722,115,0.2453109174966812
1649334825.552441,116,0.25337591767311096
1649334881.596406,117,0.24766911566257477
1649334937.092902,118,0.2653411626815796
1649334992.774927,119,0.27101022005081177
1649335047.851349,120,0.2566733658313751
1649335103.748336,121,0.23818862438201904
1649335159.393478,122,0.25450193881988525
1649335214.370052,123,0.249736487865448
1649335270.752847,124,0.23984426259994507
1649335326.285834,125,0.251077800989151
1649335382.335633,126,0.26204386353492737
1649335438.173225,127,0.24662622809410095
1649335493.999002,128,0.23768550157546997
1649335549.855759,129,0.26011428236961365
1649335606.726357,130,0.2512090504169464
1649335662.2588,131,0.23300451040267944
1649335718.372207,132,0.23946787416934967
1649335773.925207,133,0.24249063432216644
1649335829.890323,134,0.2428847700357437
1649335885.651173,135,0.253773957490921
1649335942.012198,136,0.23103754222393036
1649335997.545305,137,0.22900329530239105
1649336053.133278,138,0.2252008020877838
1649336109.280191,139,0.242095947265625
1649336165.313972,140,0.23448653519153595
1649336220.933737,141,0.23128686845302582
1649336276.088956,142,0.23449000716209412
1649336332.011088,143,0.24001444876194
1649336387.637075,144,0.22140055894851685
1649336443.888918,145,0.22598116099834442
1649336498.760443,146,0.21292780339717865
1649336553.932442,147,0.22357338666915894
1649336609.171011,148,0.22439266741275787
1649336665.076962,149,0.22995643317699432
1649336720.513166,150,0.2176821380853653
1649336775.285327,151,0.21438802778720856
1649336830.615077,152,0.22198888659477234
1649336885.841195,153,0.2324906438589096
1649336942.347364,154,0.22039949893951416
1649336997.949825,155,0.23278844356536865
1649337053.312096,156,0.2320181280374527
1649337108.45472,157,0.2176702916622162
1649337164.02818,158,0.20832403004169464
1649337220.395921,159,0.22759653627872467
1649337275.730719,160,0.23008404672145844
1649337331.865469,161,0.21898488700389862
1649337387.20256,162,0.2231539934873581
1649337443.43757,163,0.22327758371829987
1649337500.312099,164,0.22288978099822998
1649337555.516457,165,0.2243056297302246
1649337612.140221,166,0.22517743706703186
1649337668.100777,167,0.21216969192028046
1649337724.002119,168,0.21926909685134888
1649337780.399423,169,0.22129638493061066
1649337837.180762,170,0.21921053528785706
1649337892.59278,171,0.21153107285499573
1649337948.566527,172,0.21283051371574402
1649338004.871042,173,0.2156493067741394
1649338061.018557,174,0.2023145705461502
1649338116.231837,175,0.2018316686153412
1649338171.697484,176,0.22465449571609497
1649338227.182472,177,0.219970241189003
1649338282.364992,178,0.21456991136074066
1649338338.018185,179,0.19872912764549255
1649338393.318514,180,0.2080344706773758
1649338448.858276,181,0.22423096001148224
1649338504.905522,182,0.1986488699913025
1649338560.581937,183,0.21166938543319702
1649338617.491506,184,0.21660731732845306
1649338673.043282,185,0.2114814966917038
1649338729.825852,186,0.2208174169063568
1649338786.270223,187,0.2081940919160843
1649338842.063819,188,0.205765962600708
1649338898.916966,189,0.20421895384788513
1649338954.756045,190,0.1991492211818695
1649339010.765429,191,0.19415521621704102
1649339066.560593,192,0.20098458230495453
1649339121.520152,193,0.21082079410552979
1649339177.327979,194,0.20412999391555786
1649339233.583791,195,0.20482832193374634
1649339290.312728,196,0.19820371270179749
1649339346.161455,197,0.2201520800590515
1649339402.454268,198,0.2033090740442276
1649339457.674813,199,0.2004367560148239
1649339513.995846,200,0.2096010148525238
1649339569.144745,201,0.19517062604427338
1649339624.912085,202,0.19965405762195587
1649339680.523522,203,0.2152685523033142
1649339736.882717,204,0.1961122453212738
1649339792.333803,205,0.19692835211753845
1649339847.690129,206,0.22458602488040924
1649339903.162695,207,0.195226788520813
1649339959.163357,208,0.20347052812576294
1649340015.143535,209,0.2102498710155487
1649340071.144141,210,0.202528178691864
1649340127.132824,211,0.21010881662368774
1649340182.492568,212,0.19952388107776642
1649340239.093344,213,0.20514923334121704
1649340294.885675,214,0.20409749448299408
1649340350.648605,215,0.1993098258972168
1649340405.702632,216,0.20415370166301727
1649340461.393866,217,0.20495498180389404
1649340517.315325,218,0.21101026237010956
1649340573.812679,219,0.1984856128692627
1649340630.244255,220,0.19594646990299225
1649340686.393041,221,0.20155733823776245
1649340741.882396,222,0.19770540297031403
1649340798.363068,223,0.1976509988307953
1649340854.542011,224,0.19683624804019928
1649340911.403456,225,0.19645261764526367
1649340967.09388,226,0.1962675303220749
1649341023.428664,227,0.1930016130208969
